Субъект,Пункт ФПСР,Наименование статистического показателя,Значение статистического показателя (за январь - июнь 2023 г.)
Subject,Point FPSR,Name of the statistical factor,Importance of the statistical factor
Центральный фед.округ,3_1,Количество ДТП с пострадавшими,13846
Центральный фед.округ,3_1,"Количество лиц, погибших в результате ДТП",1380
Центральный фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",17026
Центральный фед.округ,3_1,Число погибших на 100 пострадавших,"7,497555145"
Белгородская область,3_1,Количество ДТП с пострадавшими,485
Белгородская область,3_1,"Количество лиц, погибших в результате ДТП",62
Белгородская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",610
Белгородская область,3_1,Число погибших на 100 пострадавших,"9,226190476"
Брянская область,3_1,Количество ДТП с пострадавшими,284
Брянская область,3_1,"Количество лиц, погибших в результате ДТП",53
Брянская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",343
Брянская область,3_1,Число погибших на 100 пострадавших,"13,38383838"
Владимирская область,3_1,Количество ДТП с пострадавшими,748
Владимирская область,3_1,"Количество лиц, погибших в результате ДТП",97
Владимирская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1001
Владимирская область,3_1,Число погибших на 100 пострадавших,"8,83424408"
Воронежская область,3_1,Количество ДТП с пострадавшими,1114
Воронежская область,3_1,"Количество лиц, погибших в результате ДТП",132
Воронежская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1384
Воронежская область,3_1,Число погибших на 100 пострадавших,"8,707124011"
Ивановская область,3_1,Количество ДТП с пострадавшими,445
Ивановская область,3_1,"Количество лиц, погибших в результате ДТП",40
Ивановская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",562
Ивановская область,3_1,Число погибших на 100 пострадавших,"6,644518272"
Калужская область,3_1,Количество ДТП с пострадавшими,478
Калужская область,3_1,"Количество лиц, погибших в результате ДТП",40
Калужская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",621
Калужская область,3_1,Число погибших на 100 пострадавших,"6,051437216"
Костромская область,3_1,Количество ДТП с пострадавшими,340
Костромская область,3_1,"Количество лиц, погибших в результате ДТП",29
Костромская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",437
Костромская область,3_1,Число погибших на 100 пострадавших,"6,223175966"
Курская область,3_1,Количество ДТП с пострадавшими,433
Курская область,3_1,"Количество лиц, погибших в результате ДТП",50
Курская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",569
Курская область,3_1,Число погибших на 100 пострадавших,"8,077544426"
Липецкая область,3_1,Количество ДТП с пострадавшими,548
Липецкая область,3_1,"Количество лиц, погибших в результате ДТП",62
Липецкая область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",739
Липецкая область,3_1,Число погибших на 100 пострадавших,"7,740324594"
г. Москва,3_1,Количество ДТП с пострадавшими,3621
г. Москва,3_1,"Количество лиц, погибших в результате ДТП",135
г. Москва,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",4006
г. Москва,3_1,Число погибших на 100 пострадавших,"3,260082106"
Московская область,3_1,Количество ДТП с пострадавшими,1647
Московская область,3_1,"Количество лиц, погибших в результате ДТП",295
Московская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1935
Московская область,3_1,Число погибших на 100 пострадавших,"13,22869955"
Орловская область,3_1,Количество ДТП с пострадавшими,284
Орловская область,3_1,"Количество лиц, погибших в результате ДТП",28
Орловская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",375
Орловская область,3_1,Число погибших на 100 пострадавших,"6,947890819"
Рязанская область,3_1,Количество ДТП с пострадавшими,605
Рязанская область,3_1,"Количество лиц, погибших в результате ДТП",60
Рязанская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",818
Рязанская область,3_1,Число погибших на 100 пострадавших,"6,833712984"
Смоленская область,3_1,Количество ДТП с пострадавшими,417
Смоленская область,3_1,"Количество лиц, погибших в результате ДТП",39
Смоленская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",506
Смоленская область,3_1,Число погибших на 100 пострадавших,"7,155963303"
Тамбовская область,3_1,Количество ДТП с пострадавшими,461
Тамбовская область,3_1,"Количество лиц, погибших в результате ДТП",44
Тамбовская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",610
Тамбовская область,3_1,Число погибших на 100 пострадавших,"6,727828746"
Тверская область,3_1,Количество ДТП с пострадавшими,611
Тверская область,3_1,"Количество лиц, погибших в результате ДТП",57
Тверская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",750
