"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",3546
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",355
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4596
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,170268633"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",150
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",22
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",217
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","9,205020921"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",33
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",6
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",50
"2. Брянская область","3_1","Число погибших на 100 пострадавших","10,71428571"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",227
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",15
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",306
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","4,672897196"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",273
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",55
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",353
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","13,48039216"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",138
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",11
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",210
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","4,977375566"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",144
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",16
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",203
"6. Калужская область","3_1","Число погибших на 100 пострадавших","7,305936073"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",117
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",13
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",142
"7. Костромская область","3_1","Число погибших на 100 пострадавших","8,387096774"
"8. Курская область","3_1","Количество ДТП с пострадавшими",106
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",14
"8. Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",164
"8. Курская область","3_1","Число погибших на 100 пострадавших","7,865168539"
"9. Липецкая область","3_1","Количество ДТП с пострадавшими",108
"9. Липецкая область","3_1","Количество лиц, погибших в результате ДТП",13
"9. Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",154
"9. Липецкая область","3_1","Число погибших на 100 пострадавших","7,784431138"
"10. г. Москва","3_1","Количество ДТП с пострадавшими",901
"10. г. Москва","3_1","Количество лиц, погибших в результате ДТП",30
"10. г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",996
"10. г. Москва","3_1","Число погибших на 100 пострадавших","2,923976608"
"11. Московская область","3_1","Количество ДТП с пострадавшими",390
"11. Московская область","3_1","Количество лиц, погибших в результате ДТП",56
"11. Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",452
"11. Московская область","3_1","Число погибших на 100 пострадавших","11,02362205"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",58
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",8
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",85
"12. Орловская область","3_1","Число погибших на 100 пострадавших","8,602150538"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",145
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",18
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",232
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","7,2"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",76
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",4
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",100
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","3,846153846"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",124
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",23
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",176
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","11,55778894"
"16. Тверская область","3_1","Количество ДТП с пострадавшими",157
"16. Тверская область","3_1","Количество лиц, погибших в результате ДТП",15
"16. Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",230
"16. Тверская область","3_1","Число погибших на 100 пострадавших","6,12244898"
"17. Тульская область","3_1","Количество ДТП с пострадавшими",214
"17. Тульская область","3_1","Количество лиц, погибших в результате ДТП",15
"17. Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",291
"17. Тульская область","3_1","Число погибших на 100 пострадавших","4,901960784"
"18. Ярославская область","3_1","Количество ДТП с пострадавшими",185
"18. Ярославская область","3_1","Количество лиц, погибших в результате ДТП",21
"18. Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",235
"18. Ярославская область","3_1","Число погибших на 100 пострадавших","8,203125"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",1576
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",141
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1950
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,743185079"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",85
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",14
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",111
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","11,2"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",126
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",9
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",166
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","5,142857143"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",87
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",20
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",116
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","14,70588235"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",85
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",20
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",114
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","14,92537313"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",2
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",0
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших",0
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",159
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",12
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",198
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","5,714285714"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",133
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",9
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",147
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","5,769230769"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",715
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",44
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",807
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","5,170387779"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",176
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",35
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",202
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","14,76793249"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",539
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",9
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",605
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","1,465798046"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",102
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",5
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",152
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","3,184713376"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",69
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",10
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",97
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","9,345794393"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",100
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",18
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",156
"31. Псковская область","3_1","Число погибших на 100 пострадавших","10,34482759"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",801
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",157
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1022
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","13,3163698"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",308
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",57
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",387
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","12,83783784"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",20
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",5
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",27
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","15,625"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",195
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",46
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",252
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","15,43624161"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",103
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",19
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",121
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","13,57142857"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",109
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",8
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",167
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","4,571428571"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",50
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",16
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",53
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","23,1884058"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",16
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",6
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",15
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","28,57142857"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",1901
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",300
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2286
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","11,60092807"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",729
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",119
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",865
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","12,09349593"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",124
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",12
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",147
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","7,547169811"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",305
