Субъект,Пункт ФПСР,Наименование статистического показателя,Значение статистического показателя (за январь-март 2024 г.)
Subject,Point FPSR,Name of the statistical factor,Importance of the statistical factor
Центральный фед.округ,3_1,Количество ДТП с пострадавшими,5374
Центральный фед.округ,3_1,"Количество лиц, погибших в результате ДТП",548
Центральный фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",6849
Центральный фед.округ,3_1,Число погибших на 100 пострадавших,"7,408408814"
1. Белгородская область,3_1,Количество ДТП с пострадавшими,217
1. Белгородская область,3_1,"Количество лиц, погибших в результате ДТП",33
1. Белгородская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",322
1. Белгородская область,3_1,Число погибших на 100 пострадавших,"9,295774648"
2. Брянская область,3_1,Количество ДТП с пострадавшими,64
2. Брянская область,3_1,"Количество лиц, погибших в результате ДТП",15
2. Брянская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",84
2. Брянская область,3_1,Число погибших на 100 пострадавших,"15,15151515"
3. Владимирская область,3_1,Количество ДТП с пострадавшими,323
3. Владимирская область,3_1,"Количество лиц, погибших в результате ДТП",26
3. Владимирская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",430
3. Владимирская область,3_1,Число погибших на 100 пострадавших,"5,701754386"
4. Воронежская область,3_1,Количество ДТП с пострадавшими,421
4. Воронежская область,3_1,"Количество лиц, погибших в результате ДТП",75
4. Воронежская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",526
4. Воронежская область,3_1,Число погибших на 100 пострадавших,"12,47920133"
5. Ивановская область,3_1,Количество ДТП с пострадавшими,187
5. Ивановская область,3_1,"Количество лиц, погибших в результате ДТП",13
5. Ивановская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",266
5. Ивановская область,3_1,Число погибших на 100 пострадавших,"4,659498208"
6. Калужская область,3_1,Количество ДТП с пострадавшими,203
6. Калужская область,3_1,"Количество лиц, погибших в результате ДТП",23
6. Калужская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",285
6. Калужская область,3_1,Число погибших на 100 пострадавших,"7,467532468"
7. Костромская область,3_1,Количество ДТП с пострадавшими,157
7. Костромская область,3_1,"Количество лиц, погибших в результате ДТП",15
7. Костромская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",198
7. Костромская область,3_1,Число погибших на 100 пострадавших,"7,042253521"
8. Курская область,3_1,Количество ДТП с пострадавшими,170
8. Курская область,3_1,"Количество лиц, погибших в результате ДТП",20
8. Курская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",246
8. Курская область,3_1,Число погибших на 100 пострадавших,"7,518796992"
9. Липецкая область,3_1,Количество ДТП с пострадавшими,162
9. Липецкая область,3_1,"Количество лиц, погибших в результате ДТП",15
9. Липецкая область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",232
9. Липецкая область,3_1,Число погибших на 100 пострадавших,"6,072874494"
10. г. Москва,3_1,Количество ДТП с пострадавшими,1434
10. г. Москва,3_1,"Количество лиц, погибших в результате ДТП",59
10. г. Москва,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1604
10. г. Москва,3_1,Число погибших на 100 пострадавших,"3,547805171"
11. Московская область,3_1,Количество ДТП с пострадавшими,609
11. Московская область,3_1,"Количество лиц, погибших в результате ДТП",92
11. Московская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",706
11. Московская область,3_1,Число погибших на 100 пострадавших,"11,52882206"
12. Орловская область,3_1,Количество ДТП с пострадавшими,100
12. Орловская область,3_1,"Количество лиц, погибших в результате ДТП",15
12. Орловская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",135
12. Орловская область,3_1,Число погибших на 100 пострадавших,10
13. Рязанская область,3_1,Количество ДТП с пострадавшими,211
13. Рязанская область,3_1,"Количество лиц, погибших в результате ДТП",26
13. Рязанская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",322
13. Рязанская область,3_1,Число погибших на 100 пострадавших,"7,471264368"
14. Смоленская область,3_1,Количество ДТП с пострадавшими,127
14. Смоленская область,3_1,"Количество лиц, погибших в результате ДТП",12
14. Смоленская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",159
14. Смоленская область,3_1,Число погибших на 100 пострадавших,"7,01754386"
15. Тамбовская область,3_1,Количество ДТП с пострадавшими,192
15. Тамбовская область,3_1,"Количество лиц, погибших в результате ДТП",29
15. Тамбовская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",271
15. Тамбовская область,3_1,Число погибших на 100 пострадавших,"9,666666667"
16. Тверская область,3_1,Количество ДТП с пострадавшими,239
16. Тверская область,3_1,"Количество лиц, погибших в результате ДТП",20
16. Тверская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",332
16. Тверская область,3_1,Число погибших на 100 пострадавших,"5,681818182"
17. Тульская область,3_1,Количество ДТП с пострадавшими,303
17. Тульская область,3_1,"Количество лиц, погибших в результате ДТП",30
17. Тульская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",401
17. Тульская область,3_1,Число погибших на 100 пострадавших,"6,960556845"
18. Ярославская область,3_1,Количество ДТП с пострадавшими,255
18. Ярославская область,3_1,"Количество лиц, погибших в результате ДТП",30
18. Ярославская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",330
18. Ярославская область,3_1,Число погибших на 100 пострадавших,"8,333333333"
Северо-Западный фед.округ,3_1,Количество ДТП с пострадавшими,2346
Северо-Западный фед.округ,3_1,"Количество лиц, погибших в результате ДТП",206
Северо-Западный фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",2911
Северо-Западный фед.округ,3_1,Число погибших на 100 пострадавших,"6,608918832"
19. Республика Карелия,3_1,Количество ДТП с пострадавшими,108
19. Республика Карелия,3_1,"Количество лиц, погибших в результате ДТП",15
19. Республика Карелия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",153
19. Республика Карелия,3_1,Число погибших на 100 пострадавших,"8,928571429"
20. Республика Коми,3_1,Количество ДТП с пострадавшими,189
20. Республика Коми,3_1,"Количество лиц, погибших в результате ДТП",15
20. Республика Коми,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",252
20. Республика Коми,3_1,Число погибших на 100 пострадавших,"5,617977528"
21. Архангельская обл. (с АО ),3_1,Количество ДТП с пострадавшими,133
21. Архангельская обл. (с АО ),3_1,"Количество лиц, погибших в результате ДТП",25
21. Архангельская обл. (с АО ),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",173
21. Архангельская обл. (с АО ),3_1,Число погибших на 100 пострадавших,"12,62626263"
22.   Архангельская обл. (без а/о),3_1,Количество ДТП с пострадавшими,129
22.   Архангельская обл. (без а/о),3_1,"Количество лиц, погибших в результате ДТП",24
22.   Архангельская обл. (без а/о),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",170
22.   Архангельская обл. (без а/о),3_1,Число погибших на 100 пострадавших,"12,37113402"
23.   Ненецкий АО,3_1,Количество ДТП с пострадавшими,4
23.   Ненецкий АО,3_1,"Количество лиц, погибших в результате ДТП",1
23.   Ненецкий АО,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",3
23.   Ненецкий АО,3_1,Число погибших на 100 пострадавших,25
24. Вологодская область,3_1,Количество ДТП с пострадавшими,221
24. Вологодская область,3_1,"Количество лиц, погибших в результате ДТП",14
24. Вологодская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",292
24. Вологодская область,3_1,Число погибших на 100 пострадавших,"4,575163399"
25. Калининградская область,3_1,Количество ДТП с пострадавшими,217
25. Калининградская область,3_1,"Количество лиц, погибших в результате ДТП",15
25. Калининградская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",248
25. Калининградская область,3_1,Число погибших на 100 пострадавших,"5,703422053"
26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_1,Количество ДТП с пострадавшими,1087
26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_1,"Количество лиц, погибших в результате ДТП",75
26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1238
26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_1,Число погибших на 100 пострадавших,"5,712109673"
27.   Ленинградская область,3_1,Количество ДТП с пострадавшими,269
27.   Ленинградская область,3_1,"Количество лиц, погибших в результате ДТП",51
27.   Ленинградская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",334
27.   Ленинградская область,3_1,Число погибших на 100 пострадавших,"13,24675325"
28.   г. Санкт-Петербург,3_1,Количество ДТП с пострадавшими,818
28.   г. Санкт-Петербург,3_1,"Количество лиц, погибших в результате ДТП",24
28.   г. Санкт-Петербург,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",904
28.   г. Санкт-Петербург,3_1,Число погибших на 100 пострадавших,"2,586206897"
29. Мурманская область,3_1,Количество ДТП с пострадавшими,142
29. Мурманская область,3_1,"Количество лиц, погибших в результате ДТП",7
29. Мурманская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",213
29. Мурманская область,3_1,Число погибших на 100 пострадавших,"3,181818182"
30. Новгородская  область,3_1,Количество ДТП с пострадавшими,115
30. Новгородская  область,3_1,"Количество лиц, погибших в результате ДТП",16
30. Новгородская  область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",150
30. Новгородская  область,3_1,Число погибших на 100 пострадавших,"9,638554217"
31. Псковская область,3_1,Количество ДТП с пострадавшими,134
31. Псковская область,3_1,"Количество лиц, погибших в результате ДТП",24
31. Псковская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",192
31. Псковская область,3_1,Число погибших на 100 пострадавших,"11,11111111"
Северо-Кавказский фед.округ,3_1,Количество ДТП с пострадавшими,1218
Северо-Кавказский фед.округ,3_1,"Количество лиц, погибших в результате ДТП",231
Северо-Кавказский фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1579
Северо-Кавказский фед.округ,3_1,Число погибших на 100 пострадавших,"12,76243094"
32. Ставропольский край,3_1,Количество ДТП с пострадавшими,483
32. Ставропольский край,3_1,"Количество лиц, погибших в результате ДТП",81
32. Ставропольский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",615
32. Ставропольский край,3_1,Число погибших на 100 пострадавших,"11,63793103"
33. Республика Ингушетия,3_1,Количество ДТП с пострадавшими,24
33. Республика Ингушетия,3_1,"Количество лиц, погибших в результате ДТП",8
33. Республика Ингушетия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",27
33. Республика Ингушетия,3_1,Число погибших на 100 пострадавших,"22,85714286"
34. Республика Дагестан,3_1,Количество ДТП с пострадавшими,299
34. Республика Дагестан,3_1,"Количество лиц, погибших в результате ДТП",70
34. Республика Дагестан,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",402
34. Республика Дагестан,3_1,Число погибших на 100 пострадавших,"14,83050847"
35. Кабардино-Балкарская Респ.,3_1,Количество ДТП с пострадавшими,152
35. Кабардино-Балкарская Респ.,3_1,"Количество лиц, погибших в результате ДТП",29
35. Кабардино-Балкарская Респ.,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",173
35. Кабардино-Балкарская Респ.,3_1,Число погибших на 100 пострадавших,"14,35643564"
36. Респ. Сев.Осетия - Алания,3_1,Количество ДТП с пострадавшими,166
36. Респ. Сев.Осетия - Алания,3_1,"Количество лиц, погибших в результате ДТП",15
36. Респ. Сев.Осетия - Алания,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",252
36. Респ. Сев.Осетия - Алания,3_1,Число погибших на 100 пострадавших,"5,617977528"
37. Карачаево-Черкесская Респ.,3_1,Количество ДТП с пострадавшими,74
37. Карачаево-Черкесская Респ.,3_1,"Количество лиц, погибших в результате ДТП",22
37. Карачаево-Черкесская Респ.,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",87
37. Карачаево-Черкесская Респ.,3_1,Число погибших на 100 пострадавших,"20,18348624"
38. Чеченская Республика,3_1,Количество ДТП с пострадавшими,20
38. Чеченская Республика,3_1,"Количество лиц, погибших в результате ДТП",6
38. Чеченская Республика,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",23
38. Чеченская Республика,3_1,Число погибших на 100 пострадавших,"20,68965517"
39. Южный фед.округ,3_1,Количество ДТП с пострадавшими,2890
39. Южный фед.округ,3_1,"Количество лиц, погибших в результате ДТП",396
39. Южный фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",3491
39. Южный фед.округ,3_1,Число погибших на 100 пострадавших,"10,18780551"
40. Краснодарский край,3_1,Количество ДТП с пострадавшими,1136
40. Краснодарский край,3_1,"Количество лиц, погибших в результате ДТП",157
40. Краснодарский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1376
40. Краснодарский край,3_1,Число погибших на 100 пострадавших,"10,24135682"
41. Астраханская область,3_1,Количество ДТП с пострадавшими,195
41. Астраханская область,3_1,"Количество лиц, погибших в результате ДТП",20
