"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",7894
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",795
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9866
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,457086577"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",308
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",51
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",433
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","10,53719008"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",96
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",24
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",121
"2. Брянская область","3_1","Число погибших на 100 пострадавших","16,55172414"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",434
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",35
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",578
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","5,709624796"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",603
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",102
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",745
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","12,04250295"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",262
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",15
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",363
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","3,968253968"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",269
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",25
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",372
"6. Калужская область","3_1","Число погибших на 100 пострадавших","6,297229219"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",222
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",20
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",283
"7. Костромская область","3_1","Число погибших на 100 пострадавших","6,600660066"
"8. Курская область","3_1","Количество ДТП с пострадавшими",276
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",29
"8. Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",393
"8. Курская область","3_1","Число погибших на 100 пострадавших","6,872037915"
"9. Липецкая область","3_1","Количество ДТП с пострадавшими",247
"9. Липецкая область","3_1","Количество лиц, погибших в результате ДТП",28
"9. Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",336
"9. Липецкая область","3_1","Число погибших на 100 пострадавших","7,692307692"
"10. г. Москва","3_1","Количество ДТП с пострадавшими",2218
"10. г. Москва","3_1","Количество лиц, погибших в результате ДТП",83
"10. г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2470
"10. г. Москва","3_1","Число погибших на 100 пострадавших","3,251077164"
"11. Московская область","3_1","Количество ДТП с пострадавшими",918
"11. Московская область","3_1","Количество лиц, погибших в результате ДТП",137
"11. Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1061
"11. Московская область","3_1","Число погибших на 100 пострадавших","11,43572621"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",138
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",18
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",191
"12. Орловская область","3_1","Число погибших на 100 пострадавших","8,612440191"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",306
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",47
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",455
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","9,362549801"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",183
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",20
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",229
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","8,032128514"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",274
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",40
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",372
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","9,708737864"
