"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - май 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",10873
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1078
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",13485
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,40232095"
"Белгородская область","3_1","Количество ДТП с пострадавшими",407
"Белгородская область","3_1","Количество лиц, погибших в результате ДТП",71
"Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",559
"Белгородская область","3_1","Число погибших на 100 пострадавших","11,26984127"
"Брянская область","3_1","Количество ДТП с пострадавшими",153
"Брянская область","3_1","Количество лиц, погибших в результате ДТП",33
"Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",182
"Брянская область","3_1","Число погибших на 100 пострадавших","15,34883721"
"Владимирская область","3_1","Количество ДТП с пострадавшими",600
"Владимирская область","3_1","Количество лиц, погибших в результате ДТП",55
"Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",788
"Владимирская область","3_1","Число погибших на 100 пострадавших","6,524317912"
"Воронежская область","3_1","Количество ДТП с пострадавшими",850
"Воронежская область","3_1","Количество лиц, погибших в результате ДТП",133
"Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1062
"Воронежская область","3_1","Число погибших на 100 пострадавших","11,12970711"
"Ивановская область","3_1","Количество ДТП с пострадавшими",357
"Ивановская область","3_1","Количество лиц, погибших в результате ДТП",16
"Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",474
"Ивановская область","3_1","Число погибших на 100 пострадавших","3,265306122"
"Калужская область","3_1","Количество ДТП с пострадавшими",370
"Калужская область","3_1","Количество лиц, погибших в результате ДТП",33
"Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",492
"Калужская область","3_1","Число погибших на 100 пострадавших","6,285714286"
"Костромская область","3_1","Количество ДТП с пострадавшими",304
"Костромская область","3_1","Количество лиц, погибших в результате ДТП",23
"Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",396
"Костромская область","3_1","Число погибших на 100 пострадавших","5,489260143"
"Курская область","3_1","Количество ДТП с пострадавшими",389
"Курская область","3_1","Количество лиц, погибших в результате ДТП",39
"Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",554
"Курская область","3_1","Число погибших на 100 пострадавших","6,576728499"
"Липецкая область","3_1","Количество ДТП с пострадавшими",351
"Липецкая область","3_1","Количество лиц, погибших в результате ДТП",44
"Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",472
"Липецкая область","3_1","Число погибших на 100 пострадавших","8,527131783"
"г. Москва","3_1","Количество ДТП с пострадавшими",3041
"г. Москва","3_1","Количество лиц, погибших в результате ДТП",119
"г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3370
"г. Москва","3_1","Число погибших на 100 пострадавших","3,410719404"
"Московская область","3_1","Количество ДТП с пострадавшими",1250
