"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июнь 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",14084
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1387
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",17375
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,392602068"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",501
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",80
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",695
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","10,32258065"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",198
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",40
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",232
"2. Брянская область","3_1","Число погибших на 100 пострадавших","14,70588235"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",788
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",75
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1032
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","6,775067751"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",1109
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",158
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1404
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","10,11523688"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",471
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",25
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",630
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","3,816793893"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",484
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",40
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",622
"6. Калужская область","3_1","Число погибших на 100 пострадавших","6,042296073"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",386
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",29
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",489
"7. Костромская область","3_1","Число погибших на 100 пострадавших","5,598455598"
"8. Курская область","3_1","Количество ДТП с пострадавшими",504
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",45
