"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июль 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",17457
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1776
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",21416
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,657813039"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",613
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",97
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",841
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","10,34115139"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",247
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",49
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",294
"2. Брянская область","3_1","Число погибших на 100 пострадавших","14,28571429"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",976
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",95
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1281
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","6,904069767"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",1351
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",208
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1738
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","10,68859198"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",574
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",34
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",745
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","4,364569961"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",618
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",61
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",782
"6. Калужская область","3_1","Число погибших на 100 пострадавших","7,236061684"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",502
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",39
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",619
"7. Костромская область","3_1","Число погибших на 100 пострадавших","5,927051672"
"8. Курская область","3_1","Количество ДТП с пострадавшими",624
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",65
"8. Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",843
"8. Курская область","3_1","Число погибших на 100 пострадавших","7,158590308"
"9. Липецкая область","3_1","Количество ДТП с пострадавшими",602
"9. Липецкая область","3_1","Количество лиц, погибших в результате ДТП",86
"9. Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",788
"9. Липецкая область","3_1","Число погибших на 100 пострадавших","9,839816934"
"10. г. Москва","3_1","Количество ДТП с пострадавшими",4832
"10. г. Москва","3_1","Количество лиц, погибших в результате ДТП",183
"10. г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5337
"10. г. Москва","3_1","Число погибших на 100 пострадавших","3,315217391"
"11. Московская область","3_1","Количество ДТП с пострадавшими",2001
"11. Московская область","3_1","Количество лиц, погибших в результате ДТП",331
"11. Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2291
"11. Московская область","3_1","Число погибших на 100 пострадавших","12,62395118"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",340
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",34
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",439
"12. Орловская область","3_1","Число погибших на 100 пострадавших","7,188160677"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",758
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",112
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1058
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","9,572649573"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",434
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",50
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",531
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","8,605851979"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",581
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",81
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",798
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","9,215017065"
"16. Тверская область","3_1","Количество ДТП с пострадавшими",776
"16. Тверская область","3_1","Количество лиц, погибших в результате ДТП",70
"16. Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",981
"16. Тверская область","3_1","Число погибших на 100 пострадавших","6,660323501"
"17. Тульская область","3_1","Количество ДТП с пострадавшими",896
"17. Тульская область","3_1","Количество лиц, погибших в результате ДТП",84
"17. Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1122
"17. Тульская область","3_1","Число погибших на 100 пострадавших","6,965174129"
"18. Ярославская область","3_1","Количество ДТП с пострадавшими",732
"18. Ярославская область","3_1","Количество лиц, погибших в результате ДТП",97
"18. Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",928
"18. Ярославская область","3_1","Число погибших на 100 пострадавших","9,463414634"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",6723
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",564
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8088
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,518723994"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",357
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",43
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",467
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","8,431372549"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",445
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",27
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",576
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","4,47761194"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",356
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",47
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",423
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших",10
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",341
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",46
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",407
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","10,15452539"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",15
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",16
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших","5,882352941"
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",694
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",51
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",903
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","5,34591195"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",606
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",40
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",711
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","5,326231691"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",3131
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",248
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3517
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6,586985392"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",900
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",165
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1092
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","13,12649165"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",2231
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",83
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2425
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,309409888"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",322
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",14
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",440
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","3,083700441"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",375
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",39
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",462
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","7,784431138"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",437
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",55
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",589
"31. Псковская область","3_1","Число погибших на 100 пострадавших","8,540372671"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",3379
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",561
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4484
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","11,11992071"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",1314
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",191
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1663
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","10,30204962"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",96
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",28
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",154
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","15,38461538"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",897
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",169
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1297
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","11,52796726"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",367
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",77
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",421
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","15,46184739"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",452
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",32
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",638
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","4,776119403"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",191
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",41
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",232
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","15,01831502"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",62
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",23
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",79
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","22,54901961"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",8086
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1063
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9982
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,624264373"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",3238
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",423
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3984
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","9,598366236"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",513
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",38
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",637
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","5,62962963"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",1280
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",117
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1665
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","6,565656566"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",1583
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",281
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1869
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","13,06976744"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",229
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",46
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",254
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","15,33333333"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",323
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",49
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",455
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","9,722222222"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",673
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",91
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",815
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","10,04415011"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",247
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",18
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",303
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","5,607476636"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",14225
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1472
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",18124
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,511737089"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",1534
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",208
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1882
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","9,95215311"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",372
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",48
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",465
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","9,356725146"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",317
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",40
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",418
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","8,733624454"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",1655
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",173
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2025
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","7,870791629"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",730
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",68
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",915
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","6,917599186"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",413
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",55
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",544
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","9,18196995"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",886
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",57
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1081
"52. Кировская область","3_1","Число погибших на 100 пострадавших","5,008787346"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",2344
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",150
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2922
