"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - август 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",20761
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",2165
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",25442
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,842213931"
"Белгородская область","3_1","Количество ДТП с пострадавшими",738
"Белгородская область","3_1","Количество лиц, погибших в результате ДТП",120
"Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1009
"Белгородская область","3_1","Число погибших на 100 пострадавших","10,62887511"
"Брянская область","3_1","Количество ДТП с пострадавшими",301
"Брянская область","3_1","Количество лиц, погибших в результате ДТП",65
"Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",351
"Брянская область","3_1","Число погибших на 100 пострадавших","15,625"
"Владимирская область","3_1","Количество ДТП с пострадавшими",1156
"Владимирская область","3_1","Количество лиц, погибших в результате ДТП",113
"Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1512
"Владимирская область","3_1","Число погибших на 100 пострадавших","6,953846154"
"Воронежская область","3_1","Количество ДТП с пострадавшими",1591
"Воронежская область","3_1","Количество лиц, погибших в результате ДТП",248
"Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2037
"Воронежская область","3_1","Число погибших на 100 пострадавших","10,85339168"
"Ивановская область","3_1","Количество ДТП с пострадавшими",699
"Ивановская область","3_1","Количество лиц, погибших в результате ДТП",44
"Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",901
"Ивановская область","3_1","Число погибших на 100 пострадавших","4,656084656"
"Калужская область","3_1","Количество ДТП с пострадавшими",733
"Калужская область","3_1","Количество лиц, погибших в результате ДТП",79
"Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",921
"Калужская область","3_1","Число погибших на 100 пострадавших","7,9"
"Костромская область","3_1","Количество ДТП с пострадавшими",636
"Костромская область","3_1","Количество лиц, погибших в результате ДТП",45
"Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",777
"Костромская область","3_1","Число погибших на 100 пострадавших","5,474452555"
"Курская область","3_1","Количество ДТП с пострадавшими",733
"Курская область","3_1","Количество лиц, погибших в результате ДТП",81
"Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",989
"Курская область","3_1","Число погибших на 100 пострадавших","7,570093458"
"Липецкая область","3_1","Количество ДТП с пострадавшими",727
"Липецкая область","3_1","Количество лиц, погибших в результате ДТП",108
"Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",955
"Липецкая область","3_1","Число погибших на 100 пострадавших","10,15992474"
"г. Москва","3_1","Количество ДТП с пострадавшими",5604
"г. Москва","3_1","Количество лиц, погибших в результате ДТП",217
"г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6185
