"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-октябрь 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",27289
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",2857
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",33246
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7.913469795"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",952
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",152
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1287
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","10.5628909"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",392
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",93
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",453
"2. Брянская область","3_1","Число погибших на 100 пострадавших","17.03296703"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",1520
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",154
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1998
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","7.156133829"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",2132
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",314
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2706
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","10.39735099"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",897
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",71
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1117
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","5.976430976"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",943
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",106
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1166
"6. Калужская область","3_1","Число погибших на 100 пострадавших","8.333333333"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",841
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",58
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1027
"7. Костромская область","3_1","Число погибших на 100 пострадавших","5.34562212"
"8. Курская область","3_1","Количество ДТП с пострадавшими",1006
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",132
"8. Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1324
"8. Курская область","3_1","Число погибших на 100 пострадавших","9.065934066"
"9. Липецкая область","3_1","Количество ДТП с пострадавшими",925
"9. Липецкая область","3_1","Количество лиц, погибших в результате ДТП",137
"9. Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1196
"9. Липецкая область","3_1","Число погибших на 100 пострадавших","10.27756939"
"10. г. Москва","3_1","Количество ДТП с пострадавшими",7477
"10. г. Москва","3_1","Количество лиц, погибших в результате ДТП",285
"10. г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8266
"10. г. Москва","3_1","Число погибших на 100 пострадавших","3.332943515"
"11. Московская область","3_1","Количество ДТП с пострадавшими",3186
"11. Московская область","3_1","Количество лиц, погибших в результате ДТП",542
"11. Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3605
"11. Московская область","3_1","Число погибших на 100 пострадавших","13.06968893"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",534
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",53
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",690
"12. Орловская область","3_1","Число погибших на 100 пострадавших","7.133243607"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",1192
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",158
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1642
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","8.777777778"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",673
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",94
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",840
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","10.06423983"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",875
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",106
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1207
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","8.073115004"
"16. Тверская область","3_1","Количество ДТП с пострадавшими",1213
"16. Тверская область","3_1","Количество лиц, погибших в результате ДТП",132
"16. Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1503
"16. Тверская область","3_1","Число погибших на 100 пострадавших","8.073394495"
"17. Тульская область","3_1","Количество ДТП с пострадавшими",1403
"17. Тульская область","3_1","Количество лиц, погибших в результате ДТП",135
"17. Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1769
"17. Тульская область","3_1","Число погибших на 100 пострадавших","7.090336134"
"18. Ярославская область","3_1","Количество ДТП с пострадавшими",1128
"18. Ярославская область","3_1","Количество лиц, погибших в результате ДТП",135
"18. Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1450
"18. Ярославская область","3_1","Число погибших на 100 пострадавших","8.517350158"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",10358
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",885
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",12359
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6.682271217"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",580
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",62
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",739
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","7.740324594"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",706
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",44
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",902
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","4.651162791"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",587
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",68
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",697
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","8.888888889"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",570
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",67
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",678
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","8.993288591"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",17
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",19
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших",5
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",1112
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",102
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1456
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","6.546854942"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",864
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",56
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",994
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","5.333333333"
