"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-ноябрь 2024 года)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",29937
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",3126
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",36370
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7.914725542"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",1045
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",169
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1397
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","10.79182631"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",441
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",101
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",511
"2. Брянская область","3_1","Число погибших на 100 пострадавших","16.50326797"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",1664
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",168
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2185
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","7.139821504"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",2319
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",341
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2951
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","10.35844471"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",978
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",78
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1202
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","6.09375"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",1017
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",117
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1259
"6. Калужская область","3_1","Число погибших на 100 пострадавших","8.502906977"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",912
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",66
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1113
"7. Костромская область","3_1","Число погибших на 100 пострадавших","5.597964377"
"8. Курская область","3_1","Количество ДТП с пострадавшими",1077
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",131
"8. Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1392
"8. Курская область","3_1","Число погибших на 100 пострадавших","8.601444517"
"9. Липецкая область","3_1","Количество ДТП с пострадавшими",1022
"9. Липецкая область","3_1","Количество лиц, погибших в результате ДТП",145
"9. Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1318
"9. Липецкая область","3_1","Число погибших на 100 пострадавших","9.91114149"
"10. г. Москва","3_1","Количество ДТП с пострадавшими",8195
"10. г. Москва","3_1","Количество лиц, погибших в результате ДТП",317
"10. г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9059
"10. г. Москва","3_1","Число погибших на 100 пострадавших","3.380972696"
"11. Московская область","3_1","Количество ДТП с пострадавшими",3520
"11. Московская область","3_1","Количество лиц, погибших в результате ДТП",594
"11. Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3960
"11. Московская область","3_1","Число погибших на 100 пострадавших","13.04347826"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",591
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",58
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",767
"12. Орловская область","3_1","Число погибших на 100 пострадавших","7.03030303"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",1316
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",172
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1807
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","8.691258211"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",743
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",103
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",922
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","10.04878049"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",974
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",121
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1348
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","8.236895848"
"16. Тверская область","3_1","Количество ДТП с пострадавшими",1323
"16. Тверская область","3_1","Количество лиц, погибших в результате ДТП",144
"16. Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1641
"16. Тверская область","3_1","Число погибших на 100 пострадавших","8.067226891"
"17. Тульская область","3_1","Количество ДТП с пострадавшими",1548
"17. Тульская область","3_1","Количество лиц, погибших в результате ДТП",149
"17. Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1935
"17. Тульская область","3_1","Число погибших на 100 пострадавших","7.149712092"
"18. Ярославская область","3_1","Количество ДТП с пострадавшими",1252
"18. Ярославская область","3_1","Количество лиц, погибших в результате ДТП",152
"18. Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1603
"18. Ярославская область","3_1","Число погибших на 100 пострадавших","8.660968661"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",11414
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",984
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",13671
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6.714431934"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",655
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",73
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",852
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","7.891891892"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",768
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",52
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",994
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","4.971319312"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",662
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",73
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",789
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","8.468677494"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",644
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",72
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",769
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","8.561236623"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",18
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",20
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших","4.761904762"
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",1214
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",119
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1589
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","6.967213115"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",945
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",66
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1084
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","5.739130435"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",5249
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",412
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5884
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6.543837357"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",1596
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",280
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1907
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","12.80292638"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",3653
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",132
