"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",32769
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",3369
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",39934
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,780061428"
"Центральный фед.округ","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","8,380876586"
"Центральный фед.округ","3_1","Число погибших на 10 тыс. транспортных средств","2,02114481"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",1170
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",177
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1562
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","10,17826337"
"1. Белгородская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,79481814"
"1. Белгородская область","3_1","Число погибших на 10 тыс. транспортных средств","2,7502152"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",496
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",109
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",575
"2. Брянская область","3_1","Число погибших на 100 пострадавших","15,93567251"
"2. Брянская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","9,541283119"
"2. Брянская область","3_1","Число погибших на 10 тыс. транспортных средств","3,43353588"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",1850
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",181
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2438
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","6,911034746"
"3. Владимирская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","13,81740566"
"3. Владимирская область","3_1","Число погибших на 10 тыс. транспортных средств","3,468795217"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",2552
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",365
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3304
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","9,948214772"
"4. Воронежская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","16,05512759"
"4. Воронежская область","3_1","Число погибших на 10 тыс. транспортных средств","3,530769447"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",1060
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",90
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1311
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","6,423982869"
"5. Ивановская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","9,934871399"
"5. Ивановская область","3_1","Число погибших на 10 тыс. транспортных средств","1,920684276"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",1114
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",126
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1395
"6. Калужская область","3_1","Число погибших на 100 пострадавших","8,284023669"
"6. Калужская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,79322545"
"6. Калужская область","3_1","Число погибших на 10 тыс. транспортных средств","3,235672519"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",977
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",68
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1189
"7. Костромская область","3_1","Число погибших на 100 пострадавших","5,409705648"
"7. Костромская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","12,00849071"
