"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2025 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",3974
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",429
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4874
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","8,089760513"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",171
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",12
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",215
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","5,286343612"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",69
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",19
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",83
"2. Брянская область","3_1","Число погибших на 100 пострадавших","18,62745098"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",189
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",29
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",258
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","10,10452962"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",348
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",44
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",431
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","9,263157895"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",111
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",10
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",154
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","6,097560976"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",145
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",13
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",180
"6. Калужская область","3_1","Число погибших на 100 пострадавших","6,735751295"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",135
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",8
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",177
"7. Костромская область","3_1","Число погибших на 100 пострадавших","4,324324324"
"8. Курская область","3_1","Количество ДТП с пострадавшими",127
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",13
"8. Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",151
"8. Курская область","3_1","Число погибших на 100 пострадавших","7,926829268"
"9. Липецкая область","3_1","Количество ДТП с пострадавшими",134
"9. Липецкая область","3_1","Количество лиц, погибших в результате ДТП",19
"9. Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",168
"9. Липецкая область","3_1","Число погибших на 100 пострадавших","10,16042781"
"10. г. Москва","3_1","Количество ДТП с пострадавшими",1035
"10. г. Москва","3_1","Количество лиц, погибших в результате ДТП",44
"10. г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1169
"10. г. Москва","3_1","Число погибших на 100 пострадавших","3,627370157"
"11. Московская область","3_1","Количество ДТП с пострадавшими",438
"11. Московская область","3_1","Количество лиц, погибших в результате ДТП",96
"11. Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",480
"11. Московская область","3_1","Число погибших на 100 пострадавших","16,66666667"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",103
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",13
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",151
"12. Орловская область","3_1","Число погибших на 100 пострадавших","7,926829268"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",171
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",21
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",251
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","7,720588235"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",94
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",11
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",107
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","9,322033898"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",139
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",16
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",183
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","8,040201005"
"16. Тверская область","3_1","Количество ДТП с пострадавшими",174
"16. Тверская область","3_1","Количество лиц, погибших в результате ДТП",25
"16. Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",211
"16. Тверская область","3_1","Число погибших на 100 пострадавших","10,59322034"
"17. Тульская область","3_1","Количество ДТП с пострадавшими",215
"17. Тульская область","3_1","Количество лиц, погибших в результате ДТП",20
"17. Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",283
"17. Тульская область","3_1","Число погибших на 100 пострадавших","6,600660066"
"18. Ярославская область","3_1","Количество ДТП с пострадавшими",176
"18. Ярославская область","3_1","Количество лиц, погибших в результате ДТП",16
"18. Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",222
"18. Ярославская область","3_1","Число погибших на 100 пострадавших","6,722689076"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",1500
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",130
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1943
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,271104679"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",112
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",4
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",192
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","2,040816327"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",122
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",15
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",168
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","8,196721311"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",84
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",5
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",104
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","4,587155963"
