"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2025 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",8553
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",882
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",10483
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,76066872"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",317
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",31
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",423
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","6,828193833"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",147
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",35
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",174
"2. Брянская область","3_1","Число погибших на 100 пострадавших","16,74641148"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",438
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",60
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",638
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","8,595988539"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",766
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",84
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",974
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","7,939508507"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",240
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",25
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",314
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","7,374631268"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",314
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",37
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",407
"6. Калужская область","3_1","Число погибших на 100 пострадавших","8,333333333"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",245
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",13
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",323
"7. Костромская область","3_1","Число погибших на 100 пострадавших","3,869047619"
"8. Курская область","3_1","Количество ДТП с пострадавшими",269
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",22
"8. Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",326
"8. Курская область","3_1","Число погибших на 100 пострадавших","6,32183908"
"9. Липецкая область","3_1","Количество ДТП с пострадавшими",290
"9. Липецкая область","3_1","Количество лиц, погибших в результате ДТП",32
"9. Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",360
"9. Липецкая область","3_1","Число погибших на 100 пострадавших","8,163265306"
"10. г. Москва","3_1","Количество ДТП с пострадавшими",2334
"10. г. Москва","3_1","Количество лиц, погибших в результате ДТП",69
"10. г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2646
"10. г. Москва","3_1","Число погибших на 100 пострадавших","2,541436464"
"11. Московская область","3_1","Количество ДТП с пострадавшими",970
"11. Московская область","3_1","Количество лиц, погибших в результате ДТП",208
"11. Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1021
"11. Московская область","3_1","Число погибших на 100 пострадавших","16,92432872"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",189
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",30
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",262
"12. Орловская область","3_1","Число погибших на 100 пострадавших","10,2739726"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",367
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",62
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",505
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","10,93474427"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",195
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",20
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",238
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","7,751937984"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",301
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",28
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",387
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","6,746987952"
"16. Тверская область","3_1","Количество ДТП с пострадавшими",371
"16. Тверская область","3_1","Количество лиц, погибших в результате ДТП",50
"16. Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",456
"16. Тверская область","3_1","Число погибших на 100 пострадавших","9,881422925"
"17. Тульская область","3_1","Количество ДТП с пострадавшими",456
"17. Тульская область","3_1","Количество лиц, погибших в результате ДТП",45
"17. Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",593
"17. Тульская область","3_1","Число погибших на 100 пострадавших","7,053291536"
"18. Ярославская область","3_1","Количество ДТП с пострадавшими",344
"18. Ярославская область","3_1","Количество лиц, погибших в результате ДТП",31
"18. Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",436
"18. Ярославская область","3_1","Число погибших на 100 пострадавших","6,638115632"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",3005
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",254
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3698
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,427125506"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",208
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",10
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",325
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","2,985074627"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",211
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",21
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",278
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","7,023411371"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",171
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",14
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",217
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","6,060606061"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",167
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",14
