"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-май 2025 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",11342
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1140
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",13925
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,567208762"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",414
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",38
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",557
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","6,386554622"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",181
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",43
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",207
"2. Брянская область","3_1","Число погибших на 100 пострадавших","17,2"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",595
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",78
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",836
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","8,533916849"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",1029
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",109
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1316
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","7,649122807"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",327
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",29
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",442
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","6,157112527"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",406
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",47
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",521
"6. Калужская область","3_1","Число погибших на 100 пострадавших","8,274647887"
